	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	sig
TRH	3.90989031528196	-1.04839828625173	0.189864811284387	-5.52181459618336	3.35516423757721e-08	0.000724379958892919	down
HAND2-AS1	4.27327867329567	-0.823554839664528	0.189630770004215	-4.34293885768762	1.40589270869639e-05	0.0758830589518879	down
OGN	4.10301165506576	-0.85010448403985	0.19546431999008	-4.34915428085797	1.36663545142847e-05	0.0758830589518879	down
SLC6A2	4.26572434186044	-0.827459479304771	0.189836798224822	-4.35879390635749	1.30781199512745e-05	0.0758830589518879	down
PCDH10	3.19838580284901	-0.928412540492608	0.216385787489065	-4.29054306785063	1.78236714185293e-05	0.0769626131852095	down
FOSB	5.75456434927578	-0.704693367873092	0.166455713779264	-4.23351864513093	2.30063098791018e-05	0.082784371714968	down
LOC101060391	3.42065263120748	-0.894246529408095	0.213461872022811	-4.18925647439527	2.79869945251711e-05	0.0863198873997777	down
ANGPTL1	3.88202825679827	-0.82767884485958	0.200243013904314	-4.13337189009294	3.57479591985872e-05	0.0964748048871873	down
LOC102723918	2.72728024460749	-0.931733891285855	0.230931582980338	-4.0346750291197	5.46779192332185e-05	0.131166252916132	down
C16orf89	4.69726254392953	-0.725528292999615	0.185342451711347	-3.91452841106016	9.05810720956718e-05	0.17778594059505	down
ZFPM2	4.05628320971701	-0.776194659478875	0.197799055801477	-3.924157556434	8.70337635083492e-05	0.17778594059505	down
TCEAL7	4.82718744826431	-0.680262327687394	0.183387861932608	-3.70941849977715	0.000207735812337034	0.373751349029713	down
PEG3	5.43590847382367	-0.636471371442301	0.173516212424881	-3.66808013238442	0.000244378600368711	0.405856460150805	down
GPR133	4.27290827380268	-0.70848668355304	0.194469878496058	-3.64316926113266	0.000269301621389977	0.415301571843543	down
FUT9	3.51819019767247	-0.763111989404644	0.212745568233509	-3.58697008704338	0.000334542684042289	0.424869208733707	down
SCGB3A1	5.20394961102748	-0.651936645974741	0.180505591425121	-3.61172549186755	0.000304166442978594	0.424869208733707	down
TPTE2P6	4.1501565161885	-0.711538713470831	0.197864798434932	-3.59608540325995	0.00032304178225919	0.424869208733707	down
VSIG2	4.47608064833289	-0.675712256872221	0.190124570456912	-3.5540501432736	0.00037934687903891	0.45500550658056	down
WIF1	6.46478499255854	-0.57412597099849	0.162746637612052	-3.5277286180687	0.000419141637787609	0.47627726104392	down
CCL20	5.87597733963758	0.855515383979213	0.247203888394045	3.46076831370676	0.000538636164866585	0.561359912767695	up
FOS	6.69788727994845	-0.547636550919416	0.158409166796633	-3.45710139125013	0.000546019368602205	0.561359912767695	down
BEX1	6.61565476309537	-0.536670246488305	0.160584166182256	-3.3419873157308	0.000831808617835824	0.751618436808538	down
IHH	5.0896099226697	-0.608559231184255	0.181311258652552	-3.35643376868527	0.000789546291574572	0.751618436808538	down
KIAA1210	4.21677562221713	-0.6595945779874	0.198011421774508	-3.33109359084616	0.000865055129674087	0.751618436808538	down
LRFN5	4.21400730338619	-0.659634468219053	0.198777138497572	-3.31846244092657	0.000905144944743956	0.751618436808538	down
SFRP4	5.93397074486735	-0.561835586489258	0.168972318285383	-3.32501555396994	0.000884136024795891	0.751618436808538	down
AF070581	4.40057506859609	-0.635307754231716	0.193919967678435	-3.27613376712813	0.00105238703207341	0.841519852683889	NA
A1BG	3.54511748127787	-0.0965045041592297	0.246308425661928	-0.391803503675865	0.695203406074361	0.999980938187157	none
A1BG-AS1	3.41711226816529	-0.154873117922298	0.247294162252199	-0.626270820596055	0.531137322033178	0.999980938187157	none
A1CF	4.29447217494855	-0.00266323762549831	0.227273471912305	-0.0117182071584929	0.990650437403119	0.999980938187157	none
A2M	7.11733422521495	0.0280869988095243	0.176296309165748	0.159316998424044	0.873419128997489	0.999980938187157	none
A2M-AS1	5.32952596022937	-0.194006642902487	0.193724827113588	-1.00145472210815	0.316607019600188	0.999980938187157	none
A2ML1	3.97730695356051	0.0891514724428822	0.242297842529756	0.367941668452675	0.712916729383744	0.999980938187157	none
A2MP1	3.9759006213895	0.0141970556139337	0.238327712964092	0.059569470278401	0.952498534360585	0.999980938187157	none
A4GALT	4.09390352826989	0.252995343516955	0.249334844781552	1.01468105566476	0.310257887415045	0.999980938187157	none
A4GNT	4.25409841664623	0.0867317646931404	0.233804072330836	0.370959170336494	0.710667942716317	0.999980938187157	none
AA06	4.31195170541152	-0.028840659522495	0.225601781419936	-0.12783879338617	0.898276549239473	0.999980938187157	none
AAAS	5.22898944427914	-0.202028035968435	0.195561120398469	-1.03306851360224	0.301571836993788	0.999980938187157	none
AACS	7.30987840622327	0.0916397439443411	0.176775788329704	0.518395334622545	0.604182469105107	0.999980938187157	none
AACSP1	3.17112505753737	0.431299678096278	0.305559109411608	1.41150980223368	0.158094347377675	0.999980938187157	NA
AADAC	4.43795369133094	-0.229103993466751	0.212118814746394	-1.08007389038386	0.280109277585446	0.999980938187157	none
AADACL2	2.87591931380861	-0.0452290724552173	0.276605263850542	-0.16351486528346	0.870113069862671	0.999980938187157	none
AADACP1	4.15322671092311	-0.339837302504992	0.213922031781493	-1.58860356586419	0.112149922642324	0.999980938187157	NA
AADAT	5.94459241223919	0.0573771125538335	0.195266241435406	0.293840410569965	0.768879854278139	0.999980938187157	none
AAED1	5.79684424532008	-0.00972360820489146	0.194468214723956	-0.0500010154291483	0.960121579140147	0.999980938187157	none
AAGAB	5.73230932191363	0.239320686053674	0.208900595996627	1.14561992947851	0.251952447406879	0.999980938187157	none
AAK1	5.92694279863959	0.0775122546946513	0.196471253592088	0.394522115971132	0.693195602342317	0.999980938187157	none
AAMDC	6.10135412405078	-0.114337827776893	0.184197225449605	-0.620735885124259	0.534773414327544	0.999980938187157	none
AAMP	6.07727057395624	0.0413324140950423	0.192217700321337	0.215029177989048	0.829744569867912	0.999980938187157	none
AANAT	2.0547682949713	-0.0693816550694257	0.322440528208223	-0.215176595370856	0.829629637722299	0.999980938187157	none
